Barangay Health Station						
"11.48209,122.3037491"	LIBACAO MAIN HEALTH CENTER	AKLAN	DOH000000000024110	Barangay Health Station	REGION VI (WESTERN VISAYAS)	DOH/KMITS (Barangay Centroid)
"11.5463305,122.486702"	ALTAVAS MAIN HEALTH CENTER	AKLAN	DOH000000000024097	Barangay Health Station	REGION VI (WESTERN VISAYAS)	DOH/KMITS (Barangay Centroid)
"11.5863199,122.4955521"	BATAN MAIN HEALTH CENTER	AKLAN	DOH000000000018909	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.6448603,122.3085632"	MALINAO MAIN HEALTH CENTER	AKLAN	DOH000000000024116	Barangay Health Station	REGION VI (WESTERN VISAYAS)	DOH/KMITS (Barangay Centroid)
"11.3603296,122.2749481"	MANIKA BARANGAY HEALTH STATION	AKLAN	DOH000000000006458	Barangay Health Station	REGION VI (WESTERN VISAYAS)	DOH/KMITS (Barangay Centroid)
"11.3983603,122.2152863"	PANIPIASON BARANGAY HEALTH STATION	AKLAN	DOH000000000003947	Barangay Health Station	REGION VI (WESTERN VISAYAS)	DOH/KMITS (Barangay Centroid)
"11.4043703,122.2783203"	RIVERA BARANGAY HEALTH STATION	AKLAN	DOH000000000024112	Barangay Health Station	REGION VI (WESTERN VISAYAS)	DOH/KMITS (Barangay Centroid)
"11.4280195,122.3054428"	ORTEGA BARANGAY HEALTH STATION	AKLAN	DOH000000000024111	Barangay Health Station	REGION VI (WESTERN VISAYAS)	DOH/KMITS (Barangay Centroid)
"11.46842,122.324852"	JULITA BARANGAY HEALTH STATION	AKLAN	DOH000000000018791	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.4905996,122.2718582"	MAMBA BARANGAY HEALTH STATION	AKLAN	DOH000000000018768	Barangay Health Station	REGION VI (WESTERN VISAYAS)	DOH/KMITS (Barangay Centroid)
"11.4959202,122.197197"	MARIA CRISTINA BARANGAY HEALTH STATION	AKLAN	DOH000000000018769	Barangay Health Station	REGION VI (WESTERN VISAYAS)	DOH/KMITS (Barangay Centroid)
"11.5074997,122.4751205"	LUPO BARANGAY HEALTH STATION	AKLAN	DOH000000000019324	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.51122,122.3906174"	GUANKO BARANGAY HEALTH STATION	AKLAN	DOH000000000003946	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5207195,122.451973"	TALON BARANGAY HEALTH STATION	AKLAN	DOH000000000019336	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5212297,122.5088272"	CABANGILA BARANGAY HEALTH STATION	AKLAN	DOH000000000019330	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5227299,122.3174667"	PANINGAYAN BARANGAY HEALTH STATION	AKLAN	DOH000000000018766	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5271101,122.3089523"	POBLACION BARANGAY HEALTH STATION	AKLAN	DOH000000000024113	Barangay Health Station	REGION VI (WESTERN VISAYAS)	DOH/KMITS (Barangay Centroid)
"11.5292196,122.3961334"	CORTES BARANGAY HEALTH STATION	AKLAN	DOH000000000019351	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5306196,122.2703018"	PANG-ITAN BARANGAY HEALTH STATION	AKLAN	DOH000000000018765	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.53298,122.2868729"	BALACTASAN BARANGAY HEALTH STATION	AKLAN	DOH000000000018764	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5337296,122.4503708"	LINAYASAN BARANGAY HEALTH STATION	AKLAN	DOH000000000019339	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5361204,122.4676666"	ODIONG BARANGAY HEALTH STATION	AKLAN	DOH000000000019333	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5419502,122.3520813"	ARCANGEL BARANGAY HEALTH STATION	AKLAN	DOH000000000024098	Barangay Health Station	REGION VI (WESTERN VISAYAS)	DOH/KMITS (Barangay Centroid)
"11.5425196,122.3705978"	MORALES BARANGAY HEALTH STATION	AKLAN	DOH000000000019368	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5432196,122.4990311"	MAN-UP BARANGAY HEALTH STATION	AKLAN	DOH000000000018718	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5497303,122.2698288"	ALAMINOS BARANGAY HEALTH STATION	AKLAN	DOH000000000018763	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5534697,122.5317535"	CAMANCI BARANGAY HEALTH STATION	AKLAN	DOH000000000018699	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5552998,122.3815384"	POBLACION BARANGAY HEALTH STATION	AKLAN	DOH000000000024099	Barangay Health Station	REGION VI (WESTERN VISAYAS)	DOH/KMITS (Barangay Centroid)
"11.5574198,122.5184479"	PALAY BARANGAY HEALTH STATION	AKLAN	DOH000000000018733	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5650702,122.3943176"	ARANAS BARANGAY HEALTH STATION	AKLAN	DOH000000000019344	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
"11.5665998,122.4386826"	CABUGAO BARANGAY HEALTH STATION	AKLAN	DOH000000000018913	Barangay Health Station	REGION VI (WESTERN VISAYAS)	CHD (GPS)
